chip_id,sensor_id,sensor_type
esp8266-15303512,62574,SDS011
esp8266-15303512,62575,DHT22
_camporovere1,59571,SDS011
_canove1,78027,SDS011
_carmignano1,62177,SDS011
_carmignano4,88093,SDS011
_carmignano5,67805,SDS011
_carmignano6,66927,SDS011
_carmignano7,63012,SDS011
_cittadella1,55312,SDS011
_cittadella2,87372,SDS011
_camposampiero1,88089,SDS011
_camposampiero2,94056,SDS011
_camposanmartino1,71671,SDS011
_fontaniva1,71648,SDS011
_fontaniva2,73136,SDS011
_fontaniva3,63016,SDS011
_fontaniva4,64816,SDS011
_fontaniva5,78053,SDS011
esp8266-4763615,88091,SDS011
esp8266-4763615,88092,DHT22
esp8266-14441834,87891,SDS011
esp8266-14441834,87892,DHT22
